nombre_modulo,programa,no_clase,salon,fecha_inicio,fecha_fin,dia,hora_inicio,hora_fin
Procesadores Gráficos y Aplica,Maestría en Ingeniería,1438,V_LAB_ADIG,2023-03-21,2023-03-21,Martes,07:00 PM,10:00 PM
Procesadores Gráficos y Aplica,Especialidad en Simuladores Gráficos,1439,V_LAB_ADIG,2023-01-16,2023-03-27,Lunes,07:00 PM,10:00 PM
Procesadores Gráficos y Aplica,Especialidad en Simuladores Gráficos,1439,V_LAB_ADIG,2023-03-21,2023-03-21,Martes,07:00 PM,10:00 PM
Selección de Materiales para,Maestría en Ingeniería,1440,V_LAB_COM2,2023-01-16,2023-03-27,Lunes,07:00 PM,09:00 PM
Selección de Materiales para,Maestría en Ingeniería,1440,V_LAB_COM2,2023-03-21,2023-03-21,Martes,07:00 PM,09:00 PM
Selección de Materiales para,Especialidad en Robótica y Manufactura,1441,V_LAB_COM2,2023-01-16,2023-03-27,Lunes,07:00 PM,09:00 PM
Aprendizaje Automático,Especialidad en Dirección de Operaciones,1442,V_LAB_COM2,2023-01-17,2023-03-07,Martes,07:00 PM,10:00 PM
Aprendizaje Automático,Especialidad en Ingeniería y Gestión de Proyectos,1444,V_LAB_COM2,2023-01-17,2023-03-07,Martes,07:00 PM,10:00 PM
Aprendizaje Automático,Especialidad en Logística Internacional,1445,V_LAB_COM2,2023-01-17,2023-03-07,Martes,07:00 PM,10:00 PM
Temas selectos de Innovación,Especialidad en Dirección de Operaciones,1454,NR 01,2023-01-17,2023-03-07,Martes,07:00 PM,10:00 PM
Temas selectos de Innovación,Especialidad en Ingeniería y Gestión Ambiental,1455,NR 01,2023-01-17,2023-03-07,Martes,07:00 PM,10:00 PM
Temas selectos de Innovación,Especialidad en Ingeniería y Gestión de Proyectos,1456,NR 01,2023-01-17,2023-03-07,Martes,07:00 PM,10:00 PM
Temas selectos de Innovación,Especialidad en Logística Internacional,1457,NR 01,2023-01-17,2023-03-07,Martes,07:00 PM,10:00 PM
Temas selectos de Innovación,Especialidad en Robótica y Manufactura,1458,NR 01,2023-01-17,2023-03-07,Martes,07:00 PM,10:00 PM
Análisis de Grandes Volúmenes,Especialidad en Dirección de Operaciones,1460,V_LAB_COM1,2023-04-17,2023-06-12,Lunes,07:00 PM,10:00 PM
Análisis de Grandes Volúmenes,Especialidad en Ingeniería y Gestión Ambiental,1461,V_LAB_COM1,2023-04-17,2023-06-12,Lunes,07:00 PM,10:00 PM
Análisis de Grandes Volúmenes,Especialidad en Ingeniería y Gestión de Proyectos,1462,V_LAB_COM1,2023-04-17,2023-06-12,Lunes,07:00 PM,10:00 PM
Análisis de Grandes Volúmenes,Especialidad en Logística Internacional,1463,V_LAB_COM1,2023-04-17,2023-06-12,Lunes,07:00 PM,10:00 PM
Análisis de Grandes Volúmenes,Especialidad en Robótica y Manufactura,1464,V_LAB_COM1,2023-04-17,2023-06-12,Lunes,07:00 PM,10:00 PM
Análisis de Grandes Volúmenes,Especialidad en Simuladores Gráficos,1465,V_LAB_COM1,2023-04-17,2023-06-12,Lunes,07:00 PM,10:00 PM
Aprendizaje Automático,Especialidad en Dirección de Operaciones,1466,V_LAB_COM2,2023-04-17,2023-06-12,Lunes,07:00 PM,10:00 PM
Aprendizaje Automático,Especialidad en Ingeniería y Gestión de Proyectos,1468,V_LAB_COM2,2023-04-17,2023-06-12,Lunes,07:00 PM,10:00 PM
Aprendizaje Automático,Especialidad en Logística Internacional,1469,V_LAB_COM2,2023-04-17,2023-06-12,Lunes,07:00 PM,10:00 PM
Monetización de la Innovación,Especialidad en Dirección de Operaciones,1472,NR 01,2023-04-17,2023-06-12,Lunes,07:00 PM,10:00 PM
Monetización de la Innovación,Especialidad en Ingeniería y Gestión Ambiental,1473,NR 01,2023-04-17,2023-06-12,Lunes,07:00 PM,10:00 PM
Monetización de la Innovación,Especialidad en Ingeniería y Gestión de Proyectos,1474,NR 01,2023-04-17,2023-06-12,Lunes,07:00 PM,10:00 PM
Monetización de la Innovación,Especialidad en Logística Internacional,1475,NR 01,2023-04-17,2023-06-12,Lunes,07:00 PM,10:00 PM
Monetización de la Innovación,Maestría en Ciencia de Datos,1476,NR 01,2023-04-17,2023-06-12,Lunes,07:00 PM,10:00 PM
Monetización de la Innovación,Especialidad en Robótica y Manufactura,1477,NR 01,2023-04-17,2023-06-12,Lunes,07:00 PM,10:00 PM
Análisis de Ciclo de Vida,Especialidad en Ingeniería y Gestión Ambiental,1479,NR 02,2023-01-25,2023-03-22,Miércoles,07:00 PM,10:00 PM
Diseño de CDCs y Almacenes,Especialidad en Logística Internacional,1481,CDC_B,2023-01-18,2023-03-22,Miércoles,07:00 PM,10:00 PM
Diseño de CDCs y Almacenes,Maestría en Ingeniería,1482,CDC_B,2023-01-18,2023-03-22,Miércoles,07:00 PM,10:00 PM
Diseño de CDCs y Almacenes,Maestria en Ingeniería y Gestión de la Cadena de Suministro,1483,CDC_B,2023-01-18,2023-03-22,Miércoles,07:00 PM,10:00 PM
Dispositivos Hápticos,Maestría en Ingeniería,1484,V_LAB_ADIG,2023-01-18,2023-03-22,Miércoles,07:00 PM,10:00 PM
Dispositivos Hápticos,Especialidad en Simuladores Gráficos,1485,V_LAB_COM2,2023-01-18,2023-03-22,Miércoles,07:00 PM,10:00 PM
Gestión del cambio,Especialidad en Ingeniería y Gestión de Proyectos,1486,NR 01,2023-01-18,2023-03-22,Miércoles,07:00 PM,10:00 PM
Integración Mecatrónica,Maestría en Ingeniería,1488,CDC_B,2023-01-18,2023-03-22,Miércoles,07:00 PM,09:00 PM
Integración Mecatrónica,Maestría en Ingeniería,1488,CDC_B,2023-01-18,2023-03-22,Miércoles,07:00 PM,09:00 PM
Integración Mecatrónica,Maestría en Ingeniería,1488,CDC_B,2023-01-18,2023-03-22,Miércoles,07:00 PM,09:00 PM
Integración Mecatrónica,Especialidad en Robótica y Manufactura,1489,V_LAB_ADIG,2023-01-18,2023-03-22,Miércoles,07:00 PM,09:00 PM
Integración Mecatrónica,Especialidad en Robótica y Manufactura,1489,V_LAB_ADIG,2023-01-18,2023-03-22,Miércoles,07:00 PM,09:00 PM
Integración Mecatrónica,Especialidad en Robótica y Manufactura,1489,V_LAB_ADIG,2023-01-18,2023-03-22,Miércoles,07:00 PM,09:00 PM
Sistemas de ayuda a la decisió,Especialidad en Dirección de Operaciones,1490,V_LAB_COM1,2023-01-18,2023-03-22,Miércoles,07:00 PM,10:00 PM
Sistemas de ayuda a la decisió,Especialidad en Dirección de Operaciones,1490,V_LAB_COM1,2023-01-18,2023-03-22,Miércoles,07:00 PM,10:00 PM
Sistemas de ayuda la decisión,Maestría en Ingeniería,1491,V_LAB_COM1,2023-01-18,2023-03-22,Miércoles,07:00 PM,10:00 PM
Sistemas de ayuda la decisión,Maestría en Ingeniería,1491,V_LAB_COM1,2023-01-18,2023-03-22,Miércoles,07:00 PM,10:00 PM
Sistemas de ayuda a la decisió,Maestria en Ingeniería y Gestión de la Cadena de Suministro,1492,V_LAB_COM1,2023-01-18,2023-03-22,Miércoles,07:00 PM,10:00 PM
Sistemas de ayuda a la decisió,Maestria en Ingeniería y Gestión de la Cadena de Suministro,1492,V_LAB_COM1,2023-01-18,2023-03-22,Miércoles,07:00 PM,10:00 PM
"Análisis de Factores Sociales,",Maestría en Ciencia de Datos,1493,NR 02,2023-01-19,2023-03-09,Jueves,07:00 PM,10:00 PM
"Análisis de Factores Sociales,",Especialidad en Dirección de Operaciones,1494,NR 02,2023-01-19,2023-03-09,Jueves,07:00 PM,10:00 PM
"Análisis de Factores Sociales,",Especialidad en Ingeniería y Gestión Ambiental,1495,NR 02,2023-01-19,2023-03-09,Jueves,07:00 PM,10:00 PM
"Análisis de Factores Sociales,",Especialidad en Ingeniería y Gestión de Proyectos,1496,NR 02,2023-01-19,2023-03-09,Jueves,07:00 PM,10:00 PM
"Análisis de Factores Sociales,",Especialidad en Logística Internacional,1497,NR 02,2023-01-19,2023-03-09,Jueves,07:00 PM,10:00 PM
"Análisis de Factores Sociales,",Especialidad en Robótica y Manufactura,1498,NR 02,2023-01-19,2023-03-09,Jueves,07:00 PM,10:00 PM
Diseño y venta de propuestas,Especialidad en Dirección de Operaciones,1500,NR 01,2023-01-19,2023-03-09,Jueves,07:00 PM,10:00 PM
Diseño y venta de propuestas,Especialidad en Ingeniería y Gestión Ambiental,1501,NR 01,2023-01-19,2023-03-09,Jueves,07:00 PM,10:00 PM
Diseño y venta de propuestas,Especialidad en Ingeniería y Gestión de Proyectos,1502,NR 01,2023-01-19,2023-03-09,Jueves,07:00 PM,10:00 PM
Diseño y venta de propuestas,Especialidad en Logística Internacional,1503,NR 01,2023-01-19,2023-03-09,Jueves,07:00 PM,10:00 PM
Diseño y venta de propuestas,Maestría en Ciencia de Datos,1506,NR 01,2023-01-19,2023-03-09,Jueves,07:00 PM,10:00 PM
Estadística para la Investigac,Maestría en Ingeniería,1508,V_LAB_COM1,2023-01-19,2023-03-09,Jueves,07:00 PM,10:00 PM
Seminario de Investigación I,Maestría en Dirección de Operaciones,1509,V_LAB_COM1,2023-01-19,2023-03-09,Jueves,07:00 PM,10:00 PM
Liderazgo,Especialidad en Dirección de Operaciones,1510,P 03,2023-01-19,2023-03-09,Jueves,07:00 PM,10:00 PM
Liderazgo,Especialidad en Ingeniería y Gestión de Proyectos,1512,P 03,2023-01-19,2023-03-09,Jueves,07:00 PM,10:00 PM
Liderazgo,Especialidad en Logística Internacional,1513,P 03,2023-01-19,2023-03-09,Jueves,07:00 PM,10:00 PM
Liderazgo,Especialidad en Simuladores Gráficos,1515,P 03,2023-01-19,2023-03-09,Jueves,07:00 PM,10:00 PM
Administración de los Sistemas,Especialidad en Dirección de Operaciones,1517,A 02,2023-01-20,2023-03-24,Viernes,07:00 PM,10:00 PM
Administración de los Sistemas,Maestría en Ingeniería,1518,A 02,2023-01-20,2023-03-24,Viernes,07:00 PM,10:00 PM
Ingeniería de Proyectos,Especialidad en Ingeniería y Gestión de Proyectos,1520,CDC_A,2023-01-20,2023-03-24,Viernes,07:00 PM,10:00 PM
Ingeniería de Proyectos,Especialidad en Ingeniería y Gestión de Proyectos,1520,CDC_A,2023-01-20,2023-03-24,Viernes,07:00 PM,10:00 PM
Ingeniería de Proyectos,Maestría en Ingeniería,1521,CDC_A,2023-01-20,2023-03-24,Viernes,07:00 PM,10:00 PM
Ingeniería de Proyectos,Maestría en Ingeniería,1521,CDC_A,2023-01-20,2023-03-24,Viernes,07:00 PM,10:00 PM
Ingeniería de Proyectos,Especialidad en Ingeniería y Gestión de Proyectos,1522,CDC_B,2023-01-20,2023-03-24,Viernes,07:00 PM,10:00 PM
Ingeniería de Proyectos,Maestría en Ingeniería,1523,CDC_B,2023-01-20,2023-03-24,Viernes,07:00 PM,10:00 PM
Seminario de Investigación I,Maestría en Ingeniería,1524,CDC_C,2023-01-27,2023-03-17,Viernes,07:00 PM,10:00 PM
Seminario de Investigación II,Maestría en Dirección de Operaciones,1526,CDC_C,2023-01-20,2023-03-10,Viernes,07:00 PM,10:00 PM
Seminario de Investigación II,Maestría en Ingeniería,1528,CDC_UNI,2023-01-20,2023-03-10,Viernes,07:00 PM,10:00 PM
Análisis de Grandes Volúmenes,Especialidad en Dirección de Operaciones,1530,V_LAB_COM1,2023-03-25,2023-05-20,Sábado,11:00 AM,02:00 PM
Análisis de Grandes Volúmenes,Especialidad en Ingeniería y Gestión Ambiental,1531,V_LAB_COM1,2023-03-25,2023-05-20,Sábado,11:00 AM,02:00 PM
Análisis de Grandes Volúmenes,Especialidad en Ingeniería y Gestión de Proyectos,1532,V_LAB_COM1,2023-03-25,2023-05-20,Sábado,11:00 AM,02:00 PM
Análisis de Grandes Volúmenes,Especialidad en Logística Internacional,1533,V_LAB_COM1,2023-03-25,2023-05-20,Sábado,11:00 AM,02:00 PM
Diseño y venta de propuestas,Maestría en Ciencia de Datos,1536,JEREZ 05,2023-03-25,2023-05-20,Sábado,11:00 AM,02:00 PM
Diseño y venta de propuestas,Especialidad en Dirección de Operaciones,1537,JEREZ 05,2023-03-25,2023-05-20,Sábado,11:00 AM,02:00 PM
Diseño y venta de propuestas,Especialidad en Ingeniería y Gestión Ambiental,1538,JEREZ 05,2023-03-25,2023-05-20,Sábado,11:00 AM,02:00 PM
Diseño y venta de propuestas,Especialidad en Ingeniería y Gestión de Proyectos,1539,JEREZ 05,2023-03-25,2023-05-20,Sábado,11:00 AM,02:00 PM
Diseño y venta de propuestas,Especialidad en Logística Internacional,1540,JEREZ 05,2023-03-25,2023-05-20,Sábado,11:00 AM,02:00 PM
Diseño y venta de propuestas,Especialidad en Robótica y Manufactura,1541,JEREZ 05,2023-03-25,2023-05-20,Sábado,11:00 AM,02:00 PM
Diseño y venta de propuestas,Especialidad en Simuladores Gráficos,1542,JEREZ 05,2023-03-25,2023-05-20,Sábado,11:00 AM,02:00 PM
"Ejecución, control y cierre op",Especialidad en Ingeniería y Gestión de Proyectos,1543,JEREZ 05,2023-03-25,2023-06-03,Sábado,08:00 AM,11:00 AM
"Ejecución, control y cierre op",Maestría en Ingeniería,1544,JEREZ 05,2023-03-25,2023-06-03,Sábado,08:00 AM,11:00 AM
"Ejecución, control y cierre op",Especialidad en Ingeniería y Gestión de Proyectos,1545,A 02,2023-03-25,2023-06-03,Sábado,08:00 AM,11:00 AM
"Ejecución, control y cierre op",Especialidad en Ingeniería y Gestión de Proyectos,1545,A 02,2023-03-25,2023-06-03,Sábado,08:00 AM,11:00 AM
"Ejecución, medición y control",Especialidad en Dirección de Operaciones,1548,R 09,2023-03-25,2023-06-03,Sábado,08:00 AM,11:00 AM
"Ejecución, medición y control",Especialidad en Dirección de Operaciones,1548,R 09,2023-03-25,2023-06-03,Sábado,08:00 AM,11:00 AM
"Ejecución, medición y control",Maestría en Ingeniería,1550,R 09,2023-03-25,2023-06-03,Sábado,08:00 AM,11:00 AM
"Ejecución, medición y control",Maestría en Ingeniería,1550,R 09,2023-03-25,2023-06-03,Sábado,08:00 AM,11:00 AM
"Ejecución, control y cierre op",Especialidad en Ingeniería y Gestión de Proyectos,1551,JEREZ 05,2023-03-28,2023-06-16,Martes,07:00 PM,10:00 PM
"Ejecución, medición y control",Especialidad en Dirección de Operaciones,1553,R 31,2023-03-28,2023-06-16,Martes,07:00 PM,10:00 PM
"Ejecución, medición y control",Especialidad en Dirección de Operaciones,1553,R 31,2023-03-28,2023-06-16,Martes,07:00 PM,10:00 PM
"Ejecución, medición y control",Maestria en Ingeniería y Gestión de la Cadena de Suministro,1554,R 31,2023-03-28,2023-06-13,Martes,07:00 PM,10:00 PM
"Ejecución, medición y control",Maestria en Ingeniería y Gestión de la Cadena de Suministro,1554,R 31,2023-03-28,2023-06-13,Martes,07:00 PM,10:00 PM
"Ejecución, medición y control",Maestría en Ingeniería,1555,R 31,2023-03-28,2023-06-13,Martes,07:00 PM,10:00 PM
"Ejecución, medición y control",Maestría en Ingeniería,1555,R 31,2023-03-28,2023-06-13,Martes,07:00 PM,10:00 PM
Optimización de la Cadena de S,Especialidad en Logística Internacional,1556,V_LAB_COM2,2023-03-28,2023-06-13,Martes,07:00 PM,10:00 PM
Optimización de la Cadena de S,Maestría en Ingeniería,1558,V_LAB_COM1,2023-03-28,2023-06-13,Martes,07:00 PM,10:00 PM
Optimización de la Cadena de S,Maestria en Ingeniería y Gestión de la Cadena de Suministro,1559,V_LAB_COM1,2023-03-28,2023-06-13,Martes,07:00 PM,10:00 PM
Reconocimiento de Señales,Maestría en Ingeniería,1560,CDC_B,2023-03-28,2023-06-13,Martes,07:00 PM,10:00 PM
Reconocimiento de Señales,Especialidad en Simuladores Gráficos,1561,CDC_B,2023-03-28,2023-06-13,Martes,07:00 PM,10:00 PM
Robótica y Programación Indus,Maestría en Ingeniería,1564,CDC_B,2023-03-28,2023-06-13,Martes,07:00 PM,09:00 PM
Robótica y Programación Indus,Maestría en Ingeniería,1564,CDC_B,2023-03-28,2023-06-13,Martes,07:00 PM,09:00 PM
Robótica y Programación Indust,Especialidad en Robótica y Manufactura,1565,V_LAB_ADIG,2023-03-28,2023-06-13,Martes,07:00 PM,09:00 PM
Robótica y Programación Indust,Especialidad en Robótica y Manufactura,1565,V_LAB_ADIG,2023-03-28,2023-06-13,Martes,07:00 PM,09:00 PM
Tendencias tecnológicas para,Especialidad en Ingeniería y Gestión Ambiental,1566,NR 01,2023-03-28,2023-06-13,Martes,07:00 PM,10:00 PM
Administración de recursos hum,Especialidad en Dirección de Operaciones,1568,R 31,2023-03-29,2023-06-07,Miércoles,07:00 PM,10:00 PM
Curso de preparación para Cert,Especialidad en Ingeniería y Gestión de Proyectos,1569,V_LAB_COM1,2023-03-29,2023-06-07,Miércoles,07:00 PM,10:00 PM
Dirección estratégica disrupti,Especialidad en Dirección de Operaciones,1570,NR 01,2023-03-29,2023-06-07,Miércoles,07:00 PM,10:00 PM
Dirección estratégica disrupti,Especialidad en Ingeniería y Gestión de Proyectos,1571,NR 01,2023-03-29,2023-06-07,Miércoles,07:00 PM,10:00 PM
Dirección estratégica disrupti,Especialidad en Logística Internacional,1572,NR 01,2023-03-29,2023-06-07,Miércoles,07:00 PM,10:00 PM
LEED GA,Especialidad en Ingeniería y Gestión Ambiental,1587,NR 02,2023-03-29,2023-06-07,Miércoles,07:00 PM,10:00 PM
Modelos Computacionales para,Especialidad en Robótica y Manufactura,1588,CDC_B,2023-03-29,2023-06-07,Miércoles,07:00 PM,10:00 PM
Satisfacción del cliente,Especialidad en Logística Internacional,1589,R 20,2023-03-29,2023-06-07,Miércoles,07:00 PM,10:00 PM
Temas selectos de Simuladores,Especialidad en Simuladores Gráficos,1590,V_LAB_ADIG,2023-03-29,2023-06-07,Miércoles,07:00 PM,10:00 PM
"Análisis de Factores Sociales,",Especialidad en Dirección de Operaciones,1592,NR 02,2023-03-30,2023-06-01,Jueves,07:00 PM,10:00 PM
"Análisis de Factores Sociales,",Especialidad en Ingeniería y Gestión Ambiental,1593,NR 02,2023-03-30,2023-06-01,Jueves,07:00 PM,10:00 PM
"Análisis de Factores Sociales,",Especialidad en Ingeniería y Gestión de Proyectos,1594,NR 02,2023-03-30,2023-06-01,Jueves,07:00 PM,10:00 PM
"Análisis de Factores Sociales,",Especialidad en Robótica y Manufactura,1596,NR 02,2023-03-30,2023-06-01,Jueves,07:00 PM,10:00 PM
"Análisis de Factores Sociales,",Especialidad en Simuladores Gráficos,1597,NR 02,2023-03-30,2023-06-01,Jueves,07:00 PM,10:00 PM
Humanismo Contemporáneo,Especialidad en Ingeniería y Gestión Ambiental,1599,NR 01,2023-03-30,2023-06-01,Jueves,07:00 PM,10:00 PM
Humanismo contemporáneo,Especialidad en Ingeniería y Gestión de Proyectos,1600,NR 01,2023-03-30,2023-06-01,Jueves,07:00 PM,10:00 PM
Humanismo contemporáneo,Especialidad en Logística Internacional,1601,NR 01,2023-03-30,2023-06-01,Jueves,07:00 PM,10:00 PM
Humanismo contemporáneo,Especialidad en Robótica y Manufactura,1602,NR 01,2023-03-30,2023-06-01,Jueves,07:00 PM,10:00 PM
Humanismo contemporáneo,Especialidad en Simuladores Gráficos,1603,NR 01,2023-03-30,2023-06-01,Jueves,07:00 PM,10:00 PM
Humanismo contemporáneo,Especialidad en Dirección de Operaciones,1604,NR 01,2023-03-30,2023-06-01,Jueves,07:00 PM,10:00 PM
Seminario de Investigación I,Maestria en Ingeniería y Gestión de la Cadena de Suministro,1612,V_LAB_COM2,2023-03-30,2023-06-01,Jueves,07:00 PM,10:00 PM
Seminario de Investigación I,Maestría en Ingeniería,1613,V_LAB_COM2,2023-03-30,2023-06-01,Jueves,07:00 PM,10:00 PM
Curso de preparación para Cert,Especialidad en Ingeniería y Gestión de Proyectos,1616,V_LAB_COM2,2023-03-31,2023-06-02,Viernes,07:00 PM,10:00 PM
Estadística Investigación,Maestria en Ingeniería y Gestión de la Cadena de Suministro,1617,V_LAB_COM1,2023-03-31,2023-06-02,Viernes,07:00 PM,10:00 PM
Estadística para la Investigac,Maestría en Ingeniería,1618,V_LAB_COM1,2023-03-31,2023-06-02,Viernes,07:00 PM,10:00 PM
Seminario de Investigación II,Maestria en Ingeniería y Gestión de la Cadena de Suministro,1620,CDC_C,2023-03-31,2023-06-02,Viernes,07:00 PM,10:00 PM
Seminario de Investigación II,Maestría en Ingeniería,1621,CDC_C,2023-03-31,2023-06-02,Viernes,07:00 PM,10:00 PM
Seminario de Tesis,Maestría en Dirección de Operaciones,1622,CDC_C,2023-03-31,2023-06-02,Viernes,07:00 PM,10:00 PM
Temas selectos de Innovación,Especialidad en Robótica y Manufactura,1623,R 34,2023-03-31,2023-06-02,Viernes,07:00 PM,10:00 PM
Temas selectos de Innovación,Especialidad en Dirección de Operaciones,1624,R 34,2023-03-31,2023-06-02,Viernes,07:00 PM,10:00 PM
Temas selectos de Innovación,Especialidad en Ingeniería y Gestión Ambiental,1625,R 34,2023-03-31,2023-06-02,Viernes,07:00 PM,10:00 PM
Temas selectos de Innovación,Especialidad en Ingeniería y Gestión de Proyectos,1626,R 34,2023-03-31,2023-06-02,Viernes,07:00 PM,10:00 PM
Temas selectos de Innovación,Especialidad en Logística Internacional,1627,R 34,2023-03-31,2023-06-02,Viernes,07:00 PM,10:00 PM
Temas selectos de Innovación,Especialidad en Simuladores Gráficos,1628,R 34,2023-03-31,2023-06-02,Viernes,07:00 PM,10:00 PM
