 f,programa,no_clase,salon,fecha_inicio,fecha_fin,dia,hora_inicio,hora_fin
Coordinación y formación de su,Maestría Internacional en Finanzas,2688,SF_6-3,2023-03-16,2023-03-16,Jueves,18:00:00 ,20:00:00 
Coordinación y formación de su,Maestría Internacional en Finanzas,2688,SF_6-4,2023-05-08,2023-05-08,Lunes,18:00:00 ,20:00:00 
Coordinación y formación de su,Maestría Internacional en Finanzas,2688,SF_6-4,2023-02-16,2023-02-16,Jueves,18:00:00 ,20:00:00 
Coordinación y formación de su,Maestría Internacional en Finanzas,2688,SF_6-4,2023-05-25,2023-05-25,Jueves,18:00:00 ,20:00:00 
Coordinación y formación de su,Maestría Internacional en Finanzas,2688,SF_6-4,2023-04-27,2023-04-27,Jueves,20:00:00 ,22:00:00 
Coordinación y formación de su,Maestría Internacional en Finanzas,2688,SF_6-4,2023-03-02,2023-03-02,Jueves,20:00:00 ,22:00:00 
Coordinación y formación de su,Maestría Internacional en Finanzas,2688,SF_6-3,2023-03-09,2023-03-09,Jueves,20:00:00 ,22:00:00 
Coordinación y formación de su,Maestría Internacional en Finanzas,2688,SF_6-3,2023-04-20,2023-04-20,Jueves,18:00:00 ,20:00:00 
Coordinación y formación de su,Maestría Internacional en Finanzas,2688,SF_6-3,2023-03-16,2023-03-16,Jueves,18:00:00 ,20:00:00 
Coordinación y formación de su,Maestría Internacional en Finanzas,2688,SF_6-4,2023-05-25,2023-05-25,Jueves,18:00:00 ,20:00:00 
Coordinación y formación de su,Maestría Internacional en Finanzas,2688,SF_6-4,2023-04-27,2023-04-27,Jueves,20:00:00 ,22:00:00 
Coordinación y formación de su,Maestría Internacional en Finanzas,2688,SF_6-4,2023-05-08,2023-05-08,Lunes,18:00:00 ,20:00:00 
Coordinación y formación de su,Maestría Internacional en Finanzas,2688,SF_6-4,2023-02-16,2023-02-16,Jueves,18:00:00 ,20:00:00 
Coordinación y formación de su,Maestría Internacional en Finanzas,2688,SF_6-4,2023-03-02,2023-03-02,Jueves,20:00:00 ,22:00:00 
Cumplimiento y control normati,Maestría Internacional en Finanzas,1007,SF_6-4,2023-01-05,2023-01-05,Jueves,20:00:00 ,22:00:00 
Estrategia corporativa y relac,Maestría Internacional en Finanzas,1016,SF_6-3,2023-05-08,2023-05-08,Lunes,20:00:00 ,22:00:00 
Estrategia corporativa y relac,Maestría Internacional en Finanzas,1016,SF_6-4,2023-05-18,2023-05-18,Jueves,18:00:00 ,20:00:00 
Estrategia corporativa y relac,Maestría Internacional en Finanzas,1016,SF_6-4,2023-05-04,2023-05-04,Jueves,16:00:00 ,18:00:00 
Estrategia corporativa y relac,Maestría Internacional en Finanzas,1016,SF_6-4,2023-06-01,2023-06-01,Jueves,18:00:00 ,20:00:00 
Ética y responsabilidad empres,Maestría Internacional en Finanzas,1002,SF_6-4,2023-01-05,2023-01-05,Jueves,16:00:00 ,18:00:00 
Ética y responsabilidad empres,Maestría Internacional en Finanzas,1002,SF_6-4,2023-01-09,2023-01-09,Lunes,16:00:00 ,18:00:00 
Finanzas Internacionales,Maestría Internacional en Finanzas,2816,SF_6-4,2023-05-11,2023-06-01,Jueves,20:00:00 ,22:00:00 
Finanzas Internacionales,Maestría Internacional en Finanzas,2816,SF_6-4,2023-05-04,2023-05-04,Jueves,20:00:00 ,22:00:00 
Información financiera y proce,Maestría Internacional en Finanzas,1006,SF_6-4,2023-01-09,2023-01-09,Lunes,18:00:00 ,20:00:00 
Información financiera y proce,Maestría Internacional en Finanzas,1006,SF_6-4,2023-01-19,2023-01-19,Jueves,16:00:00 ,18:00:00 
Información financiera y proce,Maestría Internacional en Finanzas,1006,SF_6-4,2023-01-12,2023-01-12,Jueves,20:00:00 ,22:00:00 
Mercados financieros,Maestría Internacional en Finanzas,2815,SF_6-4,2023-02-02,2023-02-02,Jueves,20:00:00 ,22:00:00 
Mercados financieros,Maestría Internacional en Finanzas,2815,SF_6-4,2023-03-06,2023-03-06,Lunes,20:00:00 ,22:00:00 
Mercados financieros,Maestría Internacional en Finanzas,2815,SF_6-4,2023-04-20,2023-04-20,Jueves,20:00:00 ,22:00:00 
Mercados financieros,Maestría Internacional en Finanzas,2815,SF_6-4,2023-02-09,2023-02-16,Jueves,20:00:00 ,22:00:00 
Mercados financieros,Maestría Internacional en Finanzas,2815,SF_6-4,2023-04-13,2023-04-13,Jueves,20:00:00 ,22:00:00 
Mercados financieros,Maestría Internacional en Finanzas,2815,SF_6-4,2023-02-06,2023-02-06,Lunes,20:00:00 ,22:00:00 
Mercados financieros,Maestría Internacional en Finanzas,2815,SF_6-4,2023-03-16,2023-03-30,Jueves,20:00:00 ,22:00:00 
