nombre_modulo,programa,no_clase,no_alumnos
LEED GA,Especialidad en Ingeniería y Gestión Ambiental,1587,15
Modelos Computacionales para,Especialidad en Robótica y Manufactura,1588,7
Satisfacción del cliente,Especialidad en Logística Internacional,1589,15
Temas selectos de Simuladores,Especialidad en Simuladores Gráficos,1590,15
"Análisis de Factores Sociales,",Maestría en Ciencia de Datos,1591,3
"Análisis de Factores Sociales,",Especialidad en Dirección de Operaciones,1592,3
"Análisis de Factores Sociales,",Especialidad en Ingeniería y Gestión Ambiental,1593,3
"Análisis de Factores Sociales,",Especialidad en Ingeniería y Gestión de Proyectos,1594,3
"Análisis de Factores Sociales,",Especialidad en Logística Internacional,1595,3
"Análisis de Factores Sociales,",Especialidad en Robótica y Manufactura,1596,3
"Análisis de Factores Sociales,",Especialidad en Simuladores Gráficos,1597,3
Humanismo contemporáneo,Maestría en Ciencia de Datos,1598,2
Humanismo Contemporáneo,Especialidad en Ingeniería y Gestión Ambiental,1599,2
Humanismo contemporáneo,Especialidad en Ingeniería y Gestión de Proyectos,1600,2
Humanismo contemporáneo,Especialidad en Logística Internacional,1601,2
Humanismo contemporáneo,Especialidad en Robótica y Manufactura,1602,2
Humanismo contemporáneo,Especialidad en Simuladores Gráficos,1603,2
Humanismo contemporáneo,Especialidad en Dirección de Operaciones,1604,2
Liderazgo,Especialidad en Dirección de Operaciones,1605,1
Liderazgo,Especialidad en Ingeniería y Gestión Ambiental,1606,1
Liderazgo,Especialidad en Ingeniería y Gestión de Proyectos,1607,1
Liderazgo,Especialidad en Logística Internacional,1608,1
Liderazgo,Especialidad en Robótica y Manufactura,1609,1
Liderazgo,Especialidad en Simuladores Gráficos,1610,1
Liderazgo,Maestría en Ciencia de Datos,1611,1
Seminario de Investigación I,Maestría en Ingeniería y Gestión de la Cadena de Suministro,1612,3
Seminario de Investigación I,Maestría en Ingeniería,1613,3
Seminario de Investigación II,Maestría en Dirección de Operaciones,1614,3
Administración de recursos hum,Especialidad en Dirección de Operaciones,1615,10
Curso de preparación para Cert,Especialidad en Ingeniería y Gestión de Proyectos,1616,20
Estadística Investigación,Maestría en Ingeniería y Gestión de la Cadena de Suministro,1617,3
Estadística para la Investigac,Maestría en Ingeniería,1618,3
Seminario de Investigación I,Maestría en Dirección de Operaciones,1619,3
Seminario de Investigación II,Maestría en Ingeniería y Gestión de la Cadena de Suministro,1620,3
Seminario de Investigación II,Maestría en Ingeniería,1621,3
Seminario de Tesis,Maestría en Dirección de Operaciones,1622,3
Temas selectos de Innovación,Especialidad en Robótica y Manufactura,1623,3
Temas selectos de Innovación,Especialidad en Dirección de Operaciones,1624,3
Temas selectos de Innovación,Especialidad en Ingeniería y Gestión Ambiental,1625,3
