No. de clase,Fecha de inicio del módulo,salon,Fecha de fin del módulo,Hora de inicio,Hora de fin,Lu,Ma,Mi,Ju,Vi,Sa
001226,21/01/2023,NR 03,28/01/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001227,03/03/2023,JEREZ 05,03/03/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001227,10/02/2023,JEREZ 05,10/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001227,21/01/2023,R 37,28/01/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001227,04/03/2023,R 37,11/03/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001227,25/03/2023,R 37,01/04/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001227,11/02/2023,R 37,25/02/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001228,03/03/2023,NR 09,03/03/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001228,11/02/2023,NR 09,25/02/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001228,25/03/2023,NR 09,01/04/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001228,21/01/2023,NR 09,28/01/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001228,10/02/2023,NR 09,10/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001228,04/03/2023,NR 09,11/03/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001216,20/01/2023,NR 09,20/01/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001216,21/01/2023,NR 09,28/01/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001216,25/02/2023,NR 09,11/03/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001216,24/02/2023,NR 09,24/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001216,25/03/2023,NR 09,01/04/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001216,11/02/2023,NR 09,18/02/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001215,20/01/2023,R 43,20/01/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001215,11/02/2023,R 43,18/02/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001215,25/03/2023,R 43,01/04/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001215,21/01/2023,R 43,28/01/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001215,25/02/2023,R 43,11/03/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001215,24/02/2023,R 43,24/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001214,21/01/2023,NR 03,28/01/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001214,03/03/2023,NR 03,03/03/2023,11:00:00,14:00:00,N,N,N,N,Y,N
001214,04/03/2023,NR 03,11/03/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001214,10/02/2023,NR 03,10/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001214,11/02/2023,NR 03,25/02/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001214,25/03/2023,NR 03,01/04/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001213,10/02/2023,NR 02,10/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001213,03/03/2023,NR 02,03/03/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001213,11/02/2023,NR 02,25/02/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001213,25/03/2023,NR 02,01/04/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001213,04/03/2023,NR 02,11/03/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001213,21/01/2023,NR 02,28/01/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001163,06/05/2023,NR 05,01/07/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001163,21/04/2023,NR 05,21/04/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001163,22/04/2023,NR 05,22/04/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001163,06/05/2023,NR 05,01/07/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001163,21/04/2023,NR 05,21/04/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001163,22/04/2023,NR 05,22/04/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001164,20/05/2023,NR 05,27/05/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001164,06/05/2023,NR 05,13/05/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001164,19/05/2023,NR 05,19/05/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001164,22/04/2023,NR 05,22/04/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001161,21/01/2023,NR 05,28/01/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001161,03/03/2023,NR 05,03/03/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001161,10/02/2023,NR 05,10/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001161,04/03/2023,NR 05,11/03/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001161,11/02/2023,NR 05,25/02/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001161,25/03/2023,NR 05,01/04/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001108,06/05/2023,R 35,13/05/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001108,19/05/2023,R 35,19/05/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001108,22/04/2023,R 35,22/04/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001108,20/05/2023,R 35,27/05/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001106,06/05/2023,R 35,01/07/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001106,21/04/2023,R 35,21/04/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001106,22/04/2023,R 35,22/04/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001103,25/03/2023,R 35,01/04/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001103,11/02/2023,R 35,25/02/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001103,04/03/2023,R 35,11/03/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001103,10/02/2023,R 35,10/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001103,21/01/2023,R 35,28/01/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001103,03/03/2023,R 35,03/03/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001165,20/01/2023,R 32,20/01/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001165,24/02/2023,R 32,24/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001165,11/02/2023,R 32,18/02/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001165,25/03/2023,R 32,01/04/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001165,25/02/2023,R 32,11/03/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001165,21/01/2023,R 32,28/01/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001109,25/03/2023,R 32,01/04/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001109,11/02/2023,R 32,25/02/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001109,10/02/2023,R 32,10/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001109,21/01/2023,R 32,28/01/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001109,03/03/2023,R 32,03/03/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001109,04/03/2023,R 32,11/03/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001101,24/02/2023,R 35,24/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001101,25/03/2023,R 35,01/04/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001101,20/01/2023,R 35,20/01/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001101,21/01/2023,R 35,28/01/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001101,25/02/2023,R 35,11/03/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001101,11/02/2023,R 35,18/02/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001156,22/04/2023,NR 01,22/04/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001156,20/05/2023,NR 01,27/05/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001156,06/05/2023,NR 01,13/05/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001156,19/05/2023,NR 01,19/05/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001154,21/04/2023,NR 01,21/04/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001154,22/04/2023,NR 01,22/04/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001154,06/05/2023,NR 01,01/07/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001160,21/01/2023,R 33,28/01/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001160,03/03/2023,R 33,03/03/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001160,04/03/2023,R 33,11/03/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001160,10/02/2023,R 33,10/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001160,11/02/2023,R 33,25/02/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001160,25/03/2023,R 33,01/04/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001147,25/02/2023,R 33,11/03/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001147,11/02/2023,R 33,18/02/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001147,25/03/2023,R 33,01/04/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001147,20/01/2023,R 33,20/01/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001147,24/02/2023,R 33,24/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001147,21/01/2023,R 33,28/01/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001151,06/05/2023,R 28,01/07/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001151,21/04/2023,R 28,21/04/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001151,22/04/2023,R 28,22/04/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001152,19/05/2023,R 28,19/05/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001152,22/04/2023,R 28,22/04/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001152,20/05/2023,R 28,27/05/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001152,06/05/2023,R 28,13/05/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001133,03/03/2023,R 30,03/03/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001133,11/02/2023,R 30,25/02/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001133,25/03/2023,R 30,01/04/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001133,21/01/2023,R 30,28/01/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001133,10/02/2023,R 30,10/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001133,04/03/2023,R 30,11/03/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001133,03/03/2023,R 30,03/03/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001133,11/02/2023,R 30,25/02/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001133,25/03/2023,R 30,01/04/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001133,21/01/2023,R 30,28/01/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001133,10/02/2023,R 30,10/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001133,04/03/2023,R 30,11/03/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001132,21/01/2023,R 30,28/01/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001132,25/02/2023,R 30,11/03/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001132,24/02/2023,R 30,24/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
